community_area,community_name,acs_year,total_population
1,Rogers Park,2023,53169
2,West Ridge,2023,79220
3,Uptown,2023,52674
4,Lincoln Square,2023,42180
5,North Center,2023,35782
6,Lake View,2023,90652
7,Lincoln Park,2023,62067
8,Near North Side,2023,91635
9,Edison Park,2023,11398
10,Norwood Park,2023,40074
11,Jefferson Park,2023,26991
12,Forest Glen,2023,19763
13,North Park,2023,19259
14,Albany Park,2023,47830
15,Portage Park,2023,64201
16,Irving Park,2023,53535
17,Dunning,2023,42548
18,Montclare,2023,13755
19,Belmont Cragin,2023,73988
20,Hermosa,2023,23200
21,Avondale,2023,36350
22,Logan Square,2023,71354
23,Humboldt Park,2023,55015
24,West Town,2023,86453
25,Austin,2023,100278
26,West Garfield Park,2023,16345
27,East Garfield Park,2023,19855
28,Near West Side,2023,65370
29,North Lawndale,2023,30355
30,South Lawndale,2023,69554
31,Lower West Side,2023,34177
32,Loop,2023,38284
33,Near South Side,2023,26307
34,Armour Square,2023,13149
35,Douglas,2023,18629
36,Oakland,2023,4373
37,Fuller Park,2023,2186
38,Grand Boulevard,2023,24808
39,Kenwood,2023,14368
40,Washington Park,2023,12362
41,Hyde Park,2023,24092
42,Woodlawn,2023,24437
43,South Shore,2023,46276
44,Chatham,2023,31440
45,Avalon Park,2023,9492
46,South Chicago,2023,29072
47,Burnside,2023,2229
48,Calumet Heights,2023,12078
49,Roseland,2023,37660
50,Pullman,2023,6851
51,South Deering,2023,15100
52,East Side,2023,23629
53,West Pullman,2023,25159
54,Riverdale,2023,7740
55,Hegewisch,2023,8895
56,Garfield Ridge,2023,36265
57,Archer Heights,2023,13875
58,Brighton Park,2023,42360
59,Mckinley Park,2023,15400
60,Bridgeport,2023,33012
61,New City,2023,40843
62,West Elsdon,2023,18201
63,Gage Park,2023,34650
64,Clearing,2023,24710
65,West Lawn,2023,32451
66,Chicago Lawn,2023,52245
67,West Englewood,2023,25971
68,Englewood,2023,21337
69,Greater Grand Crossing,2023,29052
70,Ashburn,2023,42842
71,Auburn Gresham,2023,46483
72,Beverly,2023,19811
73,Washington Heights,2023,26310
74,Mount Greenwood,2023,19107
75,Morgan Park,2023,21288
76,Ohare,2023,16281
77,Edgewater,2023,47484
